tag_id,tag_name,tag_count
1,comments,198
3,code-smell,165
4,programming-languages,1383
5,usage,8
7,business,126
8,project-management,917
9,development-process,718
11,performance,819
12,time-management,87
13,dynamic-typing,98
14,static-typing,80
16,team,222
23,waterfall,49
28,functional-programming,726
36,web-applications,1059
38,hiring,58
40,resources,105
41,math,283
45,billing,20
46,freelancing,205
47,pricing,55
49,twitter,22
50,software,306
51,technology,46
52,books,124
53,actor-model,46
54,concurrency,362
55,code-quality,638
56,test-coverage,73
57,open-source,909
58,history,338
61,linux,293
62,kernel,37
63,resume,33
65,agile,1127
67,project-hosting,23
71,productivity,354
76,java,4848
78,python,1925
82,applications,103
83,tools,113
87,telecommuting,11
89,self-improvement,235
91,websites,176
92,organization,128
94,technique,27
96,social,11
102,language-design,478
104,syntax,191
105,learning,355
109,regular-expressions,89
110,web-development,1535
111,ide,137
114,windows,320
117,goto,15
118,programming-practices,1563
119,operating-systems,229
120,managed-code,12
121,stereotypes,2
126,behavior,25
130,language-agnostic,543
131,features,39
132,estimation,259
133,indentation,27
136,coding,91
140,computer-science,193
141,php,2039
142,skills,160
144,languages,91
145,database-development,108
146,spring,291
147,sql,740
150,list,96
151,reference,47
157,unit-testing,1715
158,testing,1428
159,acceptance-testing,97
164,software-patent,17
167,internet-explorer,25
168,mac,46
169,deployment,315
170,physics,15
174,hardware,148
178,paradigms,99
180,macros,44
187,logging,261
188,.net,1422
189,text-editor,47
190,ethics,92
191,motivation,33
192,testers,7
194,sales,20
198,architect,12
200,paas,8
201,passwords,105
202,security,881
208,gpl,496
211,apple,50
212,cpu,119
214,iphone,130
215,mobile,298
216,marketing,23
220,government,7
224,saml,13
226,asp.net,623
229,object-oriented,3277
230,aspect-oriented,40
231,adfsv2,2
234,sso,29
236,code-reuse,176
239,uml,609
242,iterative-development,22
243,experience,96
246,code-contracts,12
249,c#,4819
250,vb.net,129
251,scheme,59
252,lisp,111
255,error-messages,66
258,etymology,24
264,vim,15
266,prediction,8
267,culture,32
268,emacs,17
270,google,81
271,search-engine,49
274,focus,2
277,flowchart,33
279,coding-standards,541
280,interview,289
281,browser,95
282,front-end,159
285,spoken-languages,22
287,html,420
288,css,277
294,management,253
300,erp,24
301,users,78
304,openid,31
311,algorithms,2169
312,complexity,218
315,jargon,14
318,project,127
335,stackoverflow,12
336,mistakes,15
338,language-features,149
340,joel-test,12
341,code-complete,20
344,mvc,941
347,development-cycle,8
348,release,87
353,ideology,2
354,economics,11
355,profession,6
357,scrum,738
359,version-control,954
362,free-time,13
363,communication,226
365,visual-studio-2010,51
367,pseudocode,38
374,builds,175
375,meetings,28
377,comparison,111
378,problem-solving,88
380,recognition,12
383,scope-creep,8
385,social-networks,35
388,solo-development,62
390,cobol,17
391,design-patterns,4300
392,singleton,138
394,teaching,12
395,fonts,18
399,pair-programming,51
404,artificial-intelligence,135
407,philosophy,34
408,code-reviews,354
409,frameworks,303
413,contribution,23
414,variables,201
416,product-names,4
417,time,86
421,operators,85
422,f#,80
427,bad-code,28
429,terminology,750
430,inheritance,554
431,versioning,320
432,semantics,76
437,scalability,204
441,pointers,137
444,osx,24
447,iterator,67
450,parallelism,92
451,exceptions,481
453,product,22
457,statistics,60
459,actionscript,19
467,feedback,15
469,etiquette,30
470,portability,41
471,ruby-on-rails,280
472,jquery,214
477,education,125
478,software-craftsmanship,16
480,training,46
482,c,1272
483,objective-c,193
484,cms,74
485,scripting,132
488,outsourcing,40
491,scala,239
492,migration,107
494,information,33
495,overload,14
498,wpf,259
499,standardization,31
501,beta,15
502,ruby,288
503,google-app-engine,62
506,virtualization,34
508,c++,2659
511,go,134
527,maintenance,207
529,research,49
530,vulnerabilities,14
533,senior-developer,13
536,tracking,26
539,file-structure,76
541,minimal-requirements,4
544,top-companies,2
548,structural-programming,3
551,credits,8
557,mainframe,14
558,intel,10
559,errors,55
560,nosql,222
561,bash,37
563,perl,69
566,xml,256
567,documentation,621
571,mocking,183
574,articles,6
575,sorting,199
577,media,8
579,refactoring,720
580,mysql,517
581,declarative-programming,24
584,shortcuts,4
587,financial,33
590,development-methodologies,132
591,oracle,76
595,failure,25
598,libraries,375
599,collaboration,88
602,orm,274
603,django,207
604,javafx,36
608,recruiting,7
609,design,5001
615,web-tools,2
617,syntax-highlight,10
619,writing,21
622,multi-core,24
626,data-types,148
627,cowboy-coding,9
628,visual-basic,25
633,budget,15
638,plugins,68
639,mercurial,108
641,distributed-computing,158
643,basic,15
644,contract,52
646,interruptions,2
649,stories,12
650,product-owner,48
651,microsoft,82
655,delphi,65
659,load-testing,14
660,notepad++,4
661,customer-relations,55
667,platforms,14
669,wcf,162
671,puzzles,20
673,cryptography,62
676,support,39
680,conditions,124
681,naming,640
682,github,349
687,optimization,385
688,jit,33
690,prototyping,73
691,automation,112
694,functions,311
696,implementations,99
700,bsd,14
703,industry,14
704,computer-architecture,61
717,changes,28
728,services,113
730,jdbc,32
732,mono,33
734,eclipse,58
735,visual-studio,247
736,distributed-development,34
738,free-software,45
740,binary,87
742,code-generation,60
746,requirements,375
748,azure,151
751,amazon-ec2,30
755,javascript,2085
756,programming-logic,58
761,language-choice,36
762,cross-platform,135
765,enterprise-architecture,306
768,software-updates,64
772,forward-compatibility,4
775,workflows,255
781,obfuscation,26
785,hacking,22
787,silverlight,70
788,formal-methods,21
790,architecture,3370
791,gui,248
798,personal-projects,53
802,user-group,7
803,community,19
808,strings,196
809,debugging,246
811,knowledge,18
813,dvcs,70
815,sharepoint,14
817,coding-style,1021
818,kanban,49
819,quality-attributes,16
829,entity,124
834,modules,136
837,ipad,19
838,games,26
840,copyright,179
845,professionalism,21
847,database,2057
848,sequence,24
849,product-features,28
855,lgpl,121
856,composition,166
857,headers,76
868,time-stamp,9
869,legal,262
871,relationships,63
872,smalltalk,17
873,web,249
874,soa,163
876,time-tracking,19
879,third-party-libraries,112
883,clean-code,493
886,jruby,7
887,groovy,35
889,jvm,77
890,iis7,7
892,codeplex,4
897,db2,12
898,mind-mapping,5
899,anti-patterns,225
901,web-2.0,3
903,labels,6
905,specifications,161
907,big-o,133
910,email,122
913,static-analysis,54
914,hungarian,9
915,notation,22
919,internationalization,104
920,entity-framework,371
921,message-queue,229
927,elance,3
928,side-effect,43
929,reverse-engineering,33
931,async,160
933,assertions,45
935,meta-programming,29
947,switch-statement,57
948,netbeans,16
950,end-user-programming,3
954,html5,183
955,flash,33
956,unicode,63
957,ajax,184
958,trac,4
959,construction,19
962,planning,146
963,interpreters,94
968,performance-tools,5
969,stress-testing,4
971,wordpress,38
972,sprint,106
973,sap,8
974,abap,4
978,downtime,6
980,domain-model,326
981,remote-desktop,7
983,profiling,38
988,code-formatting,59
993,seo,19
995,clang,15
996,llvm,14
997,specialization,8
998,sql-server,348
1000,mfc,12
1001,qt,115
1002,ui,125
1003,directx,6
1004,opengl,60
1005,web-framework,81
1007,case-studies,7
1008,api,1254
1010,grammar,61
1018,utilities,15
1020,hosting,32
1021,web-hosting,26
1022,identity,46
1024,lean,22
1025,installer,48
1026,dependency-analysis,20
1027,project-structure,188
1037,web-services,603
1038,etl,49
1040,selenium,55
1041,gwt,20
1042,android,587
1043,workaround,3
1044,vaadin,2
1046,keyboard-shortcuts,7
1051,jpa,59
1053,usage-statistics,12
1054,benchmarking,40
1055,ms-pl,8
1057,graphics,99
1058,diagrams,150
1059,efficiency,180
1061,cluster,55
1062,visual-basic-6,18
1066,deadlines,22
1069,access-modifiers,41
1070,encryption,135
1074,methods,195
1076,desktop,6
1082,presentation,26
1083,product-management,21
1087,abstraction,214
1088,environment,38
1090,recursion,165
1092,jsp,39
1093,site-blocking,3
1095,nhibernate,31
1098,tdd,649
1099,foss,27
1102,intellij,11
1103,validation,270
1104,control-structures,41
1107,facebook,34
1109,software-as-a-service,82
1110,teamwork,363
1112,domain-driven-design,1514
1113,solid,381
1114,pragmatism,13
1115,assembly,167
1116,low-level,71
1118,branching,243
1119,scheduling,120
1122,configuration,198
1123,gantt-chart,4
1124,e-commerce,87
1128,rest,1511
1130,accessibility,11
1132,mockups,9
1133,quality,123
1137,access,24
1139,entrepreneurship,7
1143,chrome,33
1144,theory,158
1145,type-casting,68
1147,rdbms,66
1148,persistence,129
1149,xaml,32
1151,monodroid,6
1153,apache,60
1157,linq,88
1158,lambda,90
1160,wiki,15
1161,redmine,6
1162,advantages,3
1163,technical-debt,80
1164,ios,410
1165,team-leader,65
1170,team-building,23
1171,activity,35
1173,diff,20
1175,erlang,40
1176,symbian,2
1177,gui-design,25
1178,enum,128
1183,sdlc,95
1185,delimited-files,3
1186,file-handling,161
1188,stored-procedures,61
1189,packages,138
1191,product-design,3
1193,metrics,98
1194,web-browser,25
1195,terms-of-service,11
1197,internet,33
1198,myth,3
1199,messaging,96
1201,pubsub,62
1202,middleware,44
1207,distribution,57
1209,haskell,258
1214,ebook,8
1222,data,439
1223,usability,37
1226,professional-development,13
1237,enterprise-development,51
1243,cassandra,22
1246,review,31
1247,mentor,10
1249,manuals,6
1250,production,68
1251,legacy,115
1252,dll,49
1253,ansi,8
1255,iso,23
1257,captcha,9
1259,reinventing-the-wheel,13
1260,unions,8
1261,code-organization,108
1265,svn,226
1266,attributes,23
1267,modeling,226
1269,networking,241
1273,software-evaluation,12
1274,mef,10
1275,code-layout,11
1276,whitespace,19
1280,user-control,19
1281,desktop-application,93
1282,robotics,12
1283,difference,22
1285,garbage-collection,107
1286,smart-pointer,34
1287,readability,195
1290,asp.net-mvc,554
1291,methodology,113
1294,user-interface,203
1296,porting,48
1301,winforms,108
1302,application-design,140
1310,pitfalls,5
1313,app,56
1315,invariants,24
1321,aesthetics,2
1322,declarative,9
1331,data-structures,877
1332,binary-tree,54
1333,idioms,38
1334,business-logic,169
1335,business-rules,64
1336,rules-and-constraints,40
1337,constructs,3
1338,documentation-generation,52
1339,wysiwyg,7
1343,visual-c++,23
1344,compiler,478
1345,design-principles,67
1346,data-mining,27
1348,nunit,22
1349,xhtml,18
1350,windows-phone-7,32
1351,licensing,1339
1354,mvvm,269
1356,system-reliability,22
1357,sockets,132
1366,import,32
1368,git,1133
1370,bug,141
1377,encapsulation,202
1378,chart,7
1381,android-market,22
1384,clearcase,7
1385,mdd,12
1386,lazy-initialization,37
1387,type-systems,163
1390,flex,12
1391,bdd,140
1393,source-code,269
1396,handheld,2
1402,copy-paste-programming,11
1407,concepts,117
1408,software-schedules,8
1412,qa,121
1413,aptana,2
1416,zend-framework,45
1417,cakephp,17
1418,codeigniter,42
1422,imagemagick,3
1424,grails,22
1426,64-bit,20
1427,32-bit,13
1430,xcode,37
1434,dba,6
1437,publications,6
1439,gcc,40
1440,templates,124
1441,freeware,8
1442,pyqt4,8
1445,drupal,15
1448,technical-support,21
1454,synchronization,191
1457,vi,4
1461,admob,1
1463,advertisement,10
1464,game-development,235
1465,simulation,57
1466,demonstration,5
1468,internship,28
1472,ria,7
1473,clr,25
1474,protocol,82
1479,null,121
1485,junior-programmer,84
1492,friends,4
1493,database-design,1276
1495,privacy,36
1500,mootools,3
1501,patterns-and-practices,355
1503,development-approach,30
1506,dependency-injection,631
1512,node.js,491
1521,high-level,24
1522,visual-studio-2008,4
1525,coupling,146
1527,http,369
1528,tcp,85
1531,online-identity,6
1535,web-design,42
1539,type-safety,28
1540,weak-typing,9
1543,localization,71
1547,copy-protection,20
1548,ironpython,4
1554,startup,56
1557,code-kata,5
1560,search,168
1561,law,15
1563,systems-analysis,55
1571,language-discussion,11
1572,command-line,66
1573,editor,15
1575,systems,6
1576,projects-and-solutions,53
1579,monad,44
1581,cucumber,24
1582,specflow,18
1583,xauth,2
1585,active-directory,23
1586,easter-eggs,2
1592,dom,34
1595,dsl,46
1596,runtime,69
1599,swing,54
1600,maintainability,136
1601,measurement,27
1604,change,18
1606,xna,5
1611,msbuild,13
1612,commandline-build-tool,8
1615,software-distribution,31
1617,transition,7
1620,utf-8,20
1621,character-encoding,57
1625,intellisense,9
1626,backward-compatibility,43
1631,file-extension,7
1632,closures,49
1638,hashing,162
1639,strategy,80
1642,r,34
1643,matlab,34
1645,user-experience,130
1647,rewrite,54
1652,generics,155
1653,system,37
1655,offshore,9
1656,bsd-license,101
1657,mit-license,157
1658,ecmascript,27
1660,industry-standard,21
1662,patents,14
1663,trademark,6
1664,evaluation,18
1666,iis,38
1667,virtual-machine,115
1670,python-3.x,147
1671,abstract-class,117
1674,x86,40
1677,knowledge-management,10
1678,knowledge-base,15
1679,sample,3
1681,firefox,21
1682,standards,163
1683,w3c,11
1684,count,6
1685,aggregate,161
1686,dbms,11
1687,web-scraping,44
1688,crawlers,5
1689,forms,30
1690,dictionary,54
1691,fortran,26
1693,export,15
1694,standard-library,21
1697,ssl,35
1704,intellectual-property,25
1705,date-format,32
1706,formatting,30
1707,ambiguity,8
1708,reflector,2
1709,windows-7,12
1710,joomla,9
1713,appstore,53
1714,image-manipulation,40
1716,engineering,110
1717,namespace,96
1718,file-storage,54
1719,class-design,434
1721,bpm,13
1723,business-process,29
1724,postfix,10
1727,development-environment,141
1737,certificate,23
1738,touchscreens,6
1739,asp.net-mvc-3,48
1740,code-snippets,7
1741,client-side,81
1742,server-side,104
1744,desktop-development,12
1750,unix,58
1751,color,25
1752,ipv6,5
1753,future-proof,16
1756,java-ee,149
1757,error-handling,298
1758,real-time,119
1761,repository,247
1763,human-factors,6
1765,noise,5
1766,caching,242
1767,issue-tracking,153
1768,backlog,15
1773,rational-unified-process,14
1779,content-management,24
1781,toolkit,3
1783,developer-tools,18
1786,client-relations,115
1791,natural-language-processing,43
1795,continuous-integration,355
1796,dependencies,203
1797,maven,100
1798,commercial,78
1801,visio,6
1803,finite-state-machine,118
1804,parsing,291
1805,hl7,6
1808,micro-isvs,3
1809,product-development,4
1813,object-oriented-design,1646
1815,ant,9
1816,xunit,20
1817,hudson,5
1818,integration-tests,269
1820,doctrine,15
1822,clojure,91
1826,microsoft-access,21
1827,neural-networks,44
1832,wording,15
1833,windows-registry,8
1835,ocaml,12
1836,numerical-equations,5
1838,software-obsolescence,4
1844,inversion-of-control,135
1845,ioc-containers,50
1846,machine-learning,135
1847,c99,12
1854,prolog,19
1855,proprietary,22
1857,storage,133
1858,linux-kernel,23
1861,negotiation,7
1862,jenkins,58
1864,apache-license,96
1867,ssd,3
1869,bcl,5
1870,couchdb,15
1871,mpl,21
1872,layers,178
1874,forum,5
1879,delegates,44
1881,memory,302
1882,initialization,52
1883,default-values,18
1884,journal,7
1885,im,2
1888,gpu,26
1891,n-tier,87
1897,stack-oriented,7
1898,rdms,4
1899,decompile,10
1900,scrum-master,33
1903,api-design,1080
1908,browser-compatibility,23
1909,code-metrics,28
1910,cyclomatic-complexity,34
1911,tests,21
1914,resharper,15
1915,linux-development,21
1917,sql-server-ce,2
1918,sp1,2
1920,systems-programming,16
1924,rss,9
1925,atom,6
1930,spreadsheet,11
1931,excel,57
1932,hadoop,23
1940,cli,34
1942,multilingual,13
1944,imperative-languages,11
1945,ibm,10
1948,logic-programming,20
1951,feature-requests,14
1954,prefix,7
